LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion,feedback
82,49,Male,Rawalpindi,Organic,12,12,Hot,2,Tablet,Twitter,2,1,0.2,9,8,130,Good,0,The experience was frustrating.
83,44,Female,Lahore,Organic,44,2,Hot,0,Tablet,Twitter,0,2,0.7,23,9,107,No Payment,0,Not satisfied at all.
84,37,Male,Karachi,Referral,16,7,Cold,2,Mobile,ReferralSite,2,3,0.4,1,8,123,No Payment,0,The product has potential.
85,60,Male,Islamabad,Referral,14,5,Hot,1,Mobile,Direct,4,2,0.5,16,2,26,No Payment,0,The product quality is okay.
86,55,Male,Peshawar,Social Media,55,14,Warm,9,Desktop,Direct,1,2,0.5,14,1,100,Good,0,"It’s just okay, not great."
87,34,Female,Islamabad,Referral,54,13,Cold,9,Desktop,Direct,2,2,0.3,9,3,194,No Payment,0,"It’s nice, but not what I need."
88,40,Male,Rawalpindi,Email,42,8,Warm,5,Mobile,ReferralSite,1,1,0.8,23,10,86,Good,0,I don't like the product.
89,23,Female,Quetta,Organic,10,8,Hot,1,Desktop,Twitter,4,3,0.1,21,3,88,No Payment,0,"It’s okay, but not worth the price."
90,34,Female,Karachi,Email,25,6,Hot,10,Tablet,Facebook,5,2,0.6,7,0,185,No Payment,0,"It’s nice, but not what I need."
91,22,Female,Multan,Referral,17,4,Cold,2,Tablet,Direct,2,0,0.4,6,10,109,No Payment,0,Not satisfied at all.
92,40,Female,Karachi,Referral,55,9,Warm,7,Desktop,Google,1,1,0.3,5,4,92,No Payment,0,This product didn’t work well for me.
93,45,Male,Peshawar,Organic,22,13,Warm,9,Tablet,Google,5,0,0.1,15,8,80,No Payment,0,Could have been better.
94,37,Female,Quetta,Email,45,9,Hot,2,Desktop,Twitter,0,3,0.3,1,10,48,No Payment,0,Could have been better.
95,24,Male,Faisalabad,Social Media,32,6,Warm,3,Tablet,ReferralSite,0,1,0.4,23,9,161,No Payment,0,The quality is below average.
96,33,Male,Gujranwala,Referral,10,15,Warm,7,Mobile,Google,4,0,0.4,8,8,99,Good,0,Not satisfied at all.
97,56,Female,Islamabad,Social Media,44,12,Cold,5,Desktop,Twitter,0,1,0.8,19,6,131,Good,0,"It’s useful, but not for my current situation."
98,40,Female,Multan,Social Media,10,4,Cold,0,Tablet,Facebook,3,3,0.1,10,7,164,Good,0,"It’s decent, but not for me."
99,33,Female,Islamabad,Email,43,3,Warm,5,Desktop,Direct,3,2,0.6,23,8,53,No Payment,0,I might look for alternatives.
100,51,Female,Islamabad,Referral,55,15,Cold,8,Tablet,Twitter,4,1,0.3,2,6,133,Good,0,"A good product, but I’m not ready to buy."
101,45,Male,Sialkot,Email,39,7,Cold,5,Desktop,ReferralSite,5,3,0.5,20,5,192,No Payment,0,"It’s okay, but not worth the price."
102,49,Female,Islamabad,Organic,58,12,Cold,4,Desktop,ReferralSite,1,1,0.3,20,0,70,Good,0,Disappointing experience.
103,29,Female,Multan,Organic,33,4,Hot,1,Tablet,Google,3,0,0.4,21,8,29,Good,0,It’s functional but needs improvements.
104,36,Female,Faisalabad,Email,38,15,Warm,1,Tablet,Facebook,2,0,0.2,13,4,198,Good,0,Didn’t quite work as expected.
105,28,Male,Peshawar,Social Media,34,4,Warm,4,Desktop,Direct,3,1,0.3,4,2,94,No Payment,0,It’s functional but needs improvements.
106,35,Male,Multan,Email,26,11,Hot,3,Mobile,ReferralSite,5,1,0.2,9,8,32,Good,0,The quality is below average.
107,55,Female,Faisalabad,Email,40,11,Cold,1,Mobile,Twitter,4,3,0.6,20,7,195,No Payment,0,"It’s just okay, not great."
108,54,Female,Quetta,Social Media,13,7,Hot,3,Desktop,Google,3,1,0.3,6,6,145,No Payment,0,I don't like the product.
109,36,Female,Peshawar,Social Media,56,9,Cold,5,Mobile,Facebook,4,1,0.2,20,10,111,Good,0,The product is not bad.
110,57,Male,Rawalpindi,Email,33,4,Warm,4,Desktop,Facebook,2,1,0.6,5,8,170,No Payment,0,This product didn’t work well for me.
111,47,Female,Lahore,Referral,17,3,Warm,2,Desktop,Facebook,0,0,0.4,17,10,29,No Payment,0,It did not meet my expectations.
112,57,Male,Peshawar,Social Media,26,14,Hot,7,Tablet,Facebook,3,3,0.7,19,9,164,Good,0,The quality is below average.
113,45,Female,Sialkot,Referral,48,8,Cold,6,Tablet,Twitter,5,0,0.3,16,0,134,No Payment,0,"It’s decent, but not for me."
114,43,Male,Lahore,Organic,31,2,Cold,4,Tablet,Facebook,0,0,0.2,12,4,134,No Payment,0,"Not terrible, but I’ve seen better."
115,34,Female,Faisalabad,Organic,16,3,Warm,5,Tablet,Facebook,5,0,0.4,9,4,100,Good,0,The product quality is okay.
116,28,Female,Multan,Organic,18,10,Cold,0,Tablet,ReferralSite,4,0,0.1,22,3,103,No Payment,0,Feels like it’s missing something.
117,52,Male,Multan,Referral,16,2,Hot,7,Tablet,Twitter,5,2,0.1,4,3,168,Good,0,"I like it, but the price is too high."
118,51,Male,Sialkot,Email,29,4,Warm,1,Desktop,Facebook,0,3,0.2,6,5,75,Good,0,It’s functional but needs improvements.
119,25,Female,Karachi,Social Media,12,3,Cold,4,Tablet,Direct,2,2,0.5,21,3,200,Good,0,"It’s decent, but not for me."
120,23,Female,Rawalpindi,Organic,7,3,Cold,1,Tablet,Twitter,5,0,0.5,21,8,68,Good,0,"I’m satisfied, but it’s not a fit for me."
121,27,Male,Peshawar,Referral,5,10,Warm,10,Tablet,Twitter,2,0,0.7,13,1,97,Good,0,The quality is below average.
122,29,Male,Multan,Social Media,16,12,Hot,4,Tablet,Google,4,1,0.4,4,7,127,Good,0,A bit underwhelming overall.
123,60,Male,Rawalpindi,Social Media,35,3,Cold,9,Mobile,Direct,4,3,0.3,20,4,44,No Payment,0,The quality is below average.
124,30,Female,Multan,Email,59,5,Cold,3,Desktop,Google,2,2,0.6,7,4,45,Good,0,Could have been better.
125,47,Male,Faisalabad,Social Media,7,7,Hot,2,Mobile,ReferralSite,5,3,0.3,20,10,159,No Payment,0,The product quality is okay.
126,58,Female,Islamabad,Email,17,6,Warm,5,Tablet,ReferralSite,2,1,0.6,21,9,91,No Payment,0,The product has potential.
127,24,Female,Rawalpindi,Email,12,13,Warm,8,Tablet,Google,4,0,0.5,17,0,50,No Payment,0,"Not terrible, but I’ve seen better."
128,44,Female,Quetta,Referral,49,10,Warm,7,Desktop,Google,4,0,0.4,20,0,77,Good,0,I might look for alternatives.
129,44,Female,Islamabad,Social Media,24,14,Hot,2,Desktop,Twitter,3,3,0.1,2,2,67,Good,0,"A good product, but I’m not ready to buy."
130,58,Male,Faisalabad,Referral,53,4,Warm,6,Tablet,Facebook,4,2,0.2,23,7,64,Good,0,"It’s passable, but I wouldn’t recommend it."
131,49,Male,Peshawar,Social Media,24,12,Hot,6,Tablet,Direct,2,0,0.6,13,6,198,Good,0,"It’s decent, but not for me."
132,53,Female,Peshawar,Organic,52,5,Warm,5,Desktop,Direct,4,3,0.4,15,5,151,No Payment,0,Could have been better.
133,36,Female,Quetta,Social Media,15,13,Cold,5,Tablet,Direct,3,1,0.2,3,3,96,No Payment,0,Disappointing experience.
134,55,Male,Peshawar,Email,27,15,Warm,6,Desktop,Direct,2,1,0.6,3,9,162,No Payment,0,Not as reliable as I hoped.
135,20,Female,Islamabad,Referral,53,15,Warm,9,Mobile,ReferralSite,3,2,0.8,5,1,100,Good,0,"It’s decent, but not for me."
136,27,Male,Islamabad,Referral,50,8,Cold,4,Desktop,Facebook,5,1,0.2,15,0,59,No Payment,0,It did not meet my expectations.
137,54,Male,Peshawar,Referral,12,13,Warm,8,Tablet,ReferralSite,2,2,0.7,1,4,22,No Payment,0,"It’s okay, but not worth the price."
138,37,Male,Quetta,Social Media,8,5,Warm,0,Tablet,Facebook,2,3,0.4,15,7,139,No Payment,0,"Not terrible, but I’ve seen better."
139,41,Female,Peshawar,Referral,52,2,Hot,10,Desktop,Google,3,1,0.8,9,6,28,Good,0,Feels like it’s missing something.
140,27,Male,Lahore,Organic,12,12,Warm,4,Tablet,Twitter,2,2,0.7,13,7,171,Good,0,I don't like the product.
141,38,Female,Quetta,Organic,48,3,Cold,2,Tablet,Google,4,0,0.3,21,10,48,Good,0,"Not terrible, but I’ve seen better."
142,47,Female,Faisalabad,Social Media,60,14,Cold,4,Tablet,Facebook,2,2,0.2,4,3,156,No Payment,0,The experience was frustrating.
143,30,Male,Quetta,Email,10,11,Cold,9,Mobile,ReferralSite,1,2,0.2,23,7,90,Good,0,I might look for alternatives.
144,49,Female,Sialkot,Social Media,7,8,Warm,2,Mobile,Direct,1,2,0.3,4,6,56,No Payment,0,The product quality is okay.
145,20,Female,Karachi,Organic,57,6,Hot,9,Tablet,Direct,1,2,0.2,22,0,178,Good,0,"I like it, but the price is too high."
146,36,Female,Faisalabad,Referral,43,4,Hot,9,Desktop,Google,2,2,0.2,17,4,43,Good,0,I quite like the product.
147,52,Male,Multan,Referral,53,15,Hot,5,Tablet,Google,4,1,0.3,13,8,30,Good,0,Could have been better.
148,31,Female,Multan,Referral,5,7,Warm,2,Tablet,Facebook,5,3,0.5,10,1,110,No Payment,0,Feels like it’s missing something.
149,52,Male,Islamabad,Social Media,54,11,Cold,0,Tablet,Twitter,3,3,0.2,2,4,193,No Payment,0,A bit underwhelming overall.
150,26,Female,Islamabad,Organic,5,10,Cold,0,Mobile,Direct,2,2,0.8,16,9,150,No Payment,0,A bit underwhelming overall.
151,60,Female,Faisalabad,Social Media,60,5,Warm,3,Mobile,Direct,5,3,0.5,4,3,39,Good,0,It’s functional but needs improvements.
152,39,Female,Islamabad,Referral,28,14,Warm,8,Tablet,Twitter,3,0,0.3,20,1,193,Good,0,The experience was frustrating.
153,60,Male,Karachi,Email,18,11,Hot,1,Desktop,Direct,4,2,0.6,6,4,117,No Payment,0,I expected more for the cost.
154,52,Female,Multan,Referral,45,6,Hot,7,Tablet,Twitter,3,3,0.5,15,9,156,Good,0,Not satisfied at all.
155,58,Male,Sialkot,Social Media,33,4,Hot,8,Desktop,Google,4,3,0.5,7,5,20,Good,0,The product has potential.
156,32,Female,Peshawar,Social Media,8,9,Cold,0,Desktop,ReferralSite,1,0,0.5,18,5,109,Good,0,Not satisfied at all.
157,29,Female,Faisalabad,Organic,56,9,Hot,10,Tablet,Direct,3,3,0.6,10,4,106,Good,0,The experience was frustrating.
158,43,Male,Islamabad,Organic,47,14,Cold,5,Tablet,Twitter,1,3,0.3,8,9,149,No Payment,0,I quite like the product.
159,30,Female,Multan,Email,52,7,Cold,9,Tablet,Direct,5,0,0.4,9,6,118,No Payment,0,Feels like it’s missing something.
160,54,Female,Faisalabad,Referral,41,8,Cold,10,Tablet,ReferralSite,2,2,0.5,17,1,166,No Payment,0,"I’m satisfied, but it’s not a fit for me."
161,53,Female,Sialkot,Email,37,5,Warm,10,Tablet,Google,2,2,0.7,10,2,108,No Payment,0,The product is not bad.
162,20,Female,Quetta,Organic,47,13,Hot,0,Desktop,Facebook,3,0,0.8,14,9,73,No Payment,0,I quite like the product.
163,58,Female,Gujranwala,Referral,29,9,Cold,1,Desktop,ReferralSite,5,3,0.8,3,7,60,Good,0,"I like it, but the price is too high."
164,40,Female,Karachi,Organic,48,7,Hot,5,Mobile,Twitter,1,3,0.7,1,1,127,Good,0,"I like it, but the price is too high."
165,51,Male,Peshawar,Social Media,47,6,Cold,8,Mobile,Google,2,1,0.6,15,9,168,Good,0,"It’s okay, but not worth the price."
166,21,Female,Faisalabad,Organic,12,2,Hot,2,Tablet,Google,0,0,0.7,14,1,186,No Payment,0,The product has potential.
167,27,Male,Rawalpindi,Social Media,54,8,Cold,7,Desktop,Twitter,3,3,0.1,12,3,44,No Payment,0,The experience was frustrating.
168,43,Female,Quetta,Referral,35,10,Warm,8,Mobile,ReferralSite,4,3,0.7,2,9,119,No Payment,0,This product didn’t work well for me.
169,39,Male,Lahore,Organic,13,4,Cold,5,Tablet,Twitter,4,3,0.4,1,0,46,Good,0,It did not meet my expectations.
170,35,Female,Sialkot,Organic,50,6,Cold,4,Mobile,Facebook,2,3,0.4,2,6,143,Good,0,"I like it, but the price is too high."
171,23,Female,Peshawar,Organic,43,8,Warm,9,Desktop,Facebook,2,2,0.7,22,10,179,Good,0,The product is not bad.
172,35,Male,Karachi,Organic,16,5,Warm,9,Mobile,Google,3,0,0.3,23,7,110,Good,0,I don't like the product.
173,56,Female,Rawalpindi,Social Media,54,6,Cold,2,Mobile,ReferralSite,5,2,0.5,1,10,152,No Payment,0,I quite like the product.
174,25,Male,Faisalabad,Email,39,7,Cold,10,Mobile,Direct,0,0,0.4,3,6,31,No Payment,0,"It’s nice, but not what I need."
175,25,Male,Gujranwala,Email,38,6,Hot,6,Tablet,Twitter,5,1,0.7,4,6,104,Good,0,Not satisfied at all.
176,51,Male,Sialkot,Organic,18,7,Hot,4,Tablet,ReferralSite,5,3,0.5,1,1,166,No Payment,0,"I’m satisfied, but it’s not a fit for me."
177,24,Female,Quetta,Email,13,8,Hot,5,Mobile,Twitter,4,3,0.7,3,3,89,No Payment,0,I expected more for the cost.
178,54,Female,Rawalpindi,Email,13,7,Warm,2,Mobile,Google,1,1,0.3,16,3,137,No Payment,0,Didn’t quite work as expected.
179,28,Male,Lahore,Organic,46,15,Warm,2,Desktop,Facebook,1,2,0.3,20,0,193,Good,0,I don't like the product.
180,28,Male,Lahore,Organic,42,15,Cold,5,Mobile,Google,3,0,0.7,9,8,27,Good,0,The experience was frustrating.
181,50,Male,Peshawar,Email,38,3,Warm,6,Desktop,Facebook,3,3,0.7,2,0,95,Good,0,The experience was frustrating.
182,55,Female,Karachi,Referral,20,6,Hot,10,Desktop,Twitter,1,2,0.5,2,4,193,No Payment,0,Could have been better.
183,30,Female,Lahore,Email,53,8,Hot,0,Tablet,Direct,3,2,0.1,22,1,101,Good,0,"A good product, but I’m not ready to buy."
184,36,Male,Multan,Referral,36,10,Cold,4,Tablet,Google,4,1,0.1,12,9,191,Good,0,The quality is below average.
185,53,Female,Peshawar,Email,23,4,Hot,2,Desktop,Facebook,2,1,0.5,5,0,93,No Payment,0,A bit underwhelming overall.
186,58,Female,Multan,Email,31,11,Cold,5,Mobile,Direct,3,1,0.4,22,10,70,Good,0,The quality is below average.
187,47,Male,Rawalpindi,Social Media,9,10,Cold,1,Desktop,ReferralSite,2,3,0.1,3,4,87,No Payment,0,Not as reliable as I hoped.
188,33,Female,Sialkot,Referral,16,10,Cold,0,Tablet,ReferralSite,0,1,0.6,24,7,95,No Payment,0,I expected more for the cost.
189,54,Male,Sialkot,Social Media,15,8,Hot,6,Desktop,Google,0,3,0.3,24,7,63,Good,0,"I’m satisfied, but it’s not a fit for me."
190,32,Female,Multan,Referral,6,7,Warm,1,Tablet,Facebook,0,2,0.5,12,10,67,No Payment,0,The quality is below average.
191,39,Female,Islamabad,Referral,34,10,Hot,0,Mobile,ReferralSite,1,0,0.8,18,5,160,No Payment,0,"It’s useful, but not for my current situation."
192,45,Female,Lahore,Social Media,8,7,Cold,10,Desktop,Google,0,2,0.4,3,5,93,Good,0,The quality is below average.
193,43,Male,Lahore,Organic,33,13,Warm,4,Mobile,ReferralSite,5,2,0.5,9,7,25,Good,0,The experience was frustrating.
194,48,Female,Multan,Email,18,5,Hot,1,Tablet,Google,1,0,0.7,2,0,26,Good,0,The product quality is okay.
195,53,Male,Faisalabad,Social Media,9,5,Warm,2,Desktop,Google,5,2,0.2,23,7,195,No Payment,0,Not satisfied at all.
196,48,Male,Islamabad,Social Media,44,13,Warm,5,Mobile,Twitter,0,1,0.4,3,2,145,No Payment,0,"It’s nice, but not what I need."
197,27,Male,Faisalabad,Social Media,36,6,Cold,0,Desktop,Google,5,3,0.5,10,9,191,Good,0,Not a fan of the design.
198,35,Female,Karachi,Referral,9,6,Hot,8,Mobile,Google,0,0,0.3,3,9,106,No Payment,0,I quite like the product.
199,34,Female,Lahore,Email,35,13,Cold,5,Mobile,Google,5,2,0.6,3,3,123,No Payment,0,It’s functional but needs improvements.
200,24,Female,Multan,Social Media,25,12,Warm,6,Tablet,Google,3,0,0.3,10,8,197,No Payment,0,"It’s just okay, not great."
201,41,Male,Karachi,Social Media,50,3,Warm,0,Desktop,Facebook,3,2,0.2,22,6,188,Good,0,The product has potential.
